Frame, cxs, cys, ws, hs, areas
1734,142.38621794871793,252.99152930402929,28.0,47.0,728.0
1735,140.3485260770975,252.44126984126981,31.0,47.0,735.0
1736,138.6988110964333,252.6424482606781,31.0,47.0,757.0
1737,136.86829163994014,251.87128501175965,32.0,49.0,779.5
1738,135.51513186338087,252.39667099005618,31.0,48.0,771.0
1739,133.98141106886354,252.41297000422475,32.0,48.0,789.0
1740,132.54230690432288,252.53964351567302,31.0,49.0,813.5
1741,131.21828358208955,252.94278606965173,31.0,49.0,804.0
1742,130.15680166147456,253.33727933541016,29.0,49.0,802.5
1743,128.84737711689385,253.88744320528707,29.0,47.0,807.0
1744,127.23023839397742,253.19301547469675,29.0,47.0,797.0
1745,125.92908678622963,252.76314162028447,29.0,47.0,808.5
1746,124.7984934086629,251.89997907512029,28.0,46.0,796.5
1747,123.62525625256252,250.4782697826978,28.0,46.0,813.0
1748,122.25417925478348,249.19959718026183,29.0,46.0,827.5
1749,120.93159922928709,248.052408477842,31.0,46.0,865.0
1750,119.34983127109112,246.8710161229846,32.0,47.0,889.0
1751,117.9182746878547,246.54861899356789,33.0,48.0,881.0
1752,116.25344664778092,245.39282341831915,34.0,48.0,882.5
1753,114.85440180586907,245.02012791572608,32.0,50.0,886.0
1754,113.71594528761476,244.64736743488848,33.0,50.0,889.5
1755,112.45516458569807,244.29417328793036,33.0,50.0,881.0
1756,111.32948199499324,243.83381475062583,33.0,48.0,865.5
1757,110.36911707506806,244.1246596654998,33.0,49.0,857.0
1758,109.39653784219001,244.23168276972623,32.0,48.0,828.0
1759,108.33479807491106,244.73885750156936,30.0,47.0,796.5
1760,107.4272030651341,245.06236696466578,30.0,47.0,783.0
1761,106.01671006944444,245.89366319444443,28.0,46.0,768.0
1762,104.88739344997757,246.68618214445937,26.0,46.0,743.0
1763,103.54069355980184,247.11889596602973,24.0,45.0,706.5
1764,102.04719324391453,247.1517635370094,22.0,44.0,671.0
1765,101.00572139303482,247.54825870646764,22.0,45.0,670.0
1766,100.16469428007889,248.0401873767258,22.0,46.0,676.0
1767,99.19909842223892,248.1998497370398,21.0,46.0,665.5
1768,98.29531051964511,247.87959442332064,22.0,45.0,657.5
1769,97.39941477688369,247.98902706656912,23.0,45.0,683.5
1770,96.44236760124609,247.6786484543494,23.0,46.0,695.5
1771,95.41791399382275,247.49869327631262,23.0,45.0,701.5
1772,93.88402397706541,245.12040656763097,23.0,41.0,639.5
1773,92.6250654107797,244.7291993720565,24.0,42.0,637.0
1774,91.60619803476946,244.88863693625595,24.0,44.0,661.5
1775,90.662362505978,245.32568149210903,24.0,46.0,697.0
1776,89.48364083640836,244.9333333333333,24.0,45.0,677.5
1777,88.6649868010559,245.17374610031197,25.0,45.0,694.5
1778,87.47588036661843,244.9650265315967,24.0,45.0,691.0
1779,86.49487895716945,245.2276536312849,25.0,45.0,716.0
1780,85.52418582375478,245.08093869731798,25.0,44.0,696.0
1781,84.64475524475525,245.04475524475524,26.0,44.0,715.0
1782,84.17732884399551,245.7986531986532,34.0,49.0,742.5
1783,83.31502071070416,246.06736429038588,34.0,49.0,764.5
1784,82.05555555555556,245.2091111111111,33.0,49.0,750.0
1785,81.38133874239351,244.82758620689654,35.0,50.0,739.5
1786,80.76760409853934,245.01286243732284,36.0,51.0,764.5
1787,80.45923632610939,245.34613003095976,36.0,52.0,807.5
2142,557.4258712344949,184.94040821684058,73.0,62.0,2539.5
2143,554.2262159186581,184.73440839323877,72.0,62.0,2573.5
2144,551.1500948766603,183.9852624920936,73.0,62.0,2635.0
2145,547.1383659757876,183.77980604677694,73.0,61.0,2629.5
2146,543.5680015111446,183.21880115854424,74.0,61.0,2647.0
2147,540.2144292237443,182.6220395738204,75.0,63.0,2737.5
2148,536.9646582037069,181.98504082484055,75.0,65.0,2796.5
2149,533.332056416507,181.6126298682454,75.0,67.0,2871.5
2150,529.9039401783145,181.16715559390278,75.0,65.0,2897.5
2151,526.1620250245055,181.24436372023294,76.0,65.0,2890.5
2152,522.6229648671808,180.946529562982,76.0,66.0,2917.5
2153,519.0336846801628,180.70726674474372,77.0,67.0,2988.5
2154,515.4983243967829,180.28691912421803,77.0,67.0,2984.0
2155,511.68382726502966,180.27953711543887,78.0,65.0,2952.5
2156,507.77107619530324,180.04617897167313,77.0,64.0,2959.5
2157,503.95178442180276,180.0218250654195,79.0,64.0,2993.5
2158,500.11355922773043,180.0161909530963,79.0,63.0,2995.5
2159,496.35847176079733,179.9487818383167,78.0,65.0,3010.0
2160,492.6203947368421,179.38267543859646,78.0,66.0,3040.0
2161,488.7380717881374,179.70370978332238,79.0,66.0,3046.0
2162,485.1903825136612,179.5560655737705,79.0,67.0,3050.0
2163,480.57805184423887,180.44587187392943,79.0,57.0,2919.0
2164,476.5564894225271,180.30743281875357,79.0,54.0,2915.0
2165,473.0331613458024,178.58207029990325,79.0,70.0,3101.0
2166,468.9186494822648,179.13328927076446,79.0,57.0,3026.0
2167,464.95368990450953,178.722305017387,79.0,57.0,3019.5
2168,461.40839978734715,177.11610845295056,79.0,68.0,3135.0
2169,457.4962257275235,176.68514758706857,79.0,66.0,3201.5
2170,453.2267208587358,176.53686623938304,79.0,65.0,3198.5
2171,449.4464624131396,176.5939145083175,80.0,65.0,3166.0
2172,445.3362623568178,176.2403891416915,79.0,65.0,3186.5
2173,441.30879313907826,175.85849349039057,80.0,65.0,3226.0
2174,437.09932712215317,175.6027950310559,80.0,64.0,3220.0
2175,433.06946612550735,175.12025184722654,80.0,65.0,3203.0
2176,429.06462799495586,174.89002732240436,79.0,65.0,3172.0
2177,425.04184143752263,174.38843146393245,80.0,66.0,3218.5
2178,420.84725029803553,173.95682371844708,81.0,65.0,3215.5
2179,417.01963254593176,173.74451443569552,80.0,64.0,3175.0
2180,412.80873445967484,173.5206141749017,80.0,64.0,3137.0
2181,408.7086294950771,173.1657979255515,80.0,65.0,3165.5
2182,404.7538060257638,172.74289364420312,81.0,64.0,3131.0
2183,400.9564678627229,172.54679165993213,80.0,64.0,3093.5
2184,396.6199144048973,172.18814670350503,80.0,64.0,3076.5
